ticker,Industry_group_code,Industry_group_name
A,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AA,1510,Materials
AAL,2030,Transportation
AAN,2550,Retailing
AAOI,4520,Technology Hardware & Equipment
AAON,2010,Capital Goods
AAP,2550,Retailing
AAPL,4520,Technology Hardware & Equipment
AAT,6010,Real Estate
AAWW,2030,Transportation
AAXN,2010,Capital Goods
ABBV,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ABC,3510,Health Care Equipment & Services
ABCB,4010,Banks
ABEO,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ABG,2550,Retailing
ABM,2020,Commercial & Professional Services
ABMD,3510,Health Care Equipment & Services
ABT,3510,Health Care Equipment & Services
ABTX,4010,Banks
AC,4020,Diversified Financials
ACA,2010,Capital Goods
ACAD,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACBI,4010,Banks
ACC,6010,Real Estate
ACCO,2020,Commercial & Professional Services
ACER,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACGL,4030,Insurance
ACHC,3510,Health Care Equipment & Services
ACIA,4520,Technology Hardware & Equipment
ACIW,4510,Software & Services
ACLS,4530,Semiconductors & Semiconductor Equipment
ACM,2010,Capital Goods
ACN,4510,Software & Services
ACNB,4010,Banks
ACOR,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRE,4020,Diversified Financials
ACRS,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRX,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTG,2020,Commercial & Professional Services
ADBE,4510,Software & Services
ADC,6010,Real Estate
ADES,1510,Materials
ADI,4530,Semiconductors & Semiconductor Equipment
ADM,3020,"Food, Beverage & Tobacco"
ADMA,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADMS,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADNT,2510,Automobiles & Components
ADP,4510,Software & Services
ADPT,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADRO,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADS,4510,Software & Services
ADSK,4510,Software & Services
ADSW,2020,Commercial & Professional Services
ADT,2020,Commercial & Professional Services
ADTN,4520,Technology Hardware & Equipment
ADUS,3510,Health Care Equipment & Services
ADVM,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AEE,5510,Utilities
AEGN,2010,Capital Goods
AEIS,4530,Semiconductors & Semiconductor Equipment
AEL,4030,Insurance
AEO,2550,Retailing
AEP,5510,Utilities
AERI,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AES,5510,Utilities
AFG,4030,Insurance
AFI,2010,Capital Goods
AFIN,6010,Real Estate
AFL,4030,Insurance
AFMD,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGCO,2010,Capital Goods
AGE,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGEN,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGIO,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGLE,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGM,4010,Banks
