tic,gic_sub_industry,gic_industry,gic_group,gic_sector,naics_industry,naics_group,naiscs_sector,sic_industry,sic_group,sic_sector
AIR,20101010,201010,2010,20,423860,4238,42,5080,508,50
AAL,20302010,203020,2030,20,481111,4811,48,4512,451,45
CECE,20201050,202010,2020,20,333413,3334,33,3564,356,35
PNW,55101010,551010,5510,55,2211,2211,22,4911,491,49
PRG,40202010,402020,4020,40,522220,5222,52,6141,614,61
ABT,35101010,351010,3510,35,334510,3345,33,3845,384,38
AMD,45301020,453010,4530,45,334413,3344,33,3674,367,36
APD,15101040,151010,1510,15,325120,3251,32,2810,281,28
ALK,20302010,203020,2030,20,481111,4811,48,4512,451,45
ATRI,35101020,351010,3510,35,339112,3391,33,3841,384,38
MATX,20303010,203030,2030,20,483113,4831,48,4400,440,44
ALX,60101070,601010,6010,60,531120,5311,53,6798,679,67
ALCO,30202010,302020,3020,30,111310,1113,11,100,100,10
Y,40301050,403010,4030,40,524126,5241,52,6331,633,63
HON,20105010,201050,2010,20,336413,3364,33,9997,999,99
SWKS,45301020,453010,4530,45,334413,3344,33,3674,367,36
HES,10102020,101020,1010,10,2111,2111,21,1311,131,13
UHAL,20304020,203040,2030,20,532120,5321,53,7510,751,75
ABM,20201050,202010,2020,20,561720,5617,56,7340,734,73
PRI,40301020,403010,4030,40,524113,5241,52,6311,631,63
ECOL,20201050,202010,2020,20,562211,5622,56,4955,495,49
AEP,55101010,551010,5510,55,2211,2211,22,4911,491,49
AXP,40202010,402020,4020,40,522210,5222,52,6141,614,61
AFL,40301020,403010,4030,40,524114,5241,52,6321,632,63
AIG,40301030,403010,4030,40,524126,5241,52,6331,633,63
ANAT,40301030,403010,4030,40,524113,5241,52,6311,631,63
AMSWA,45103010,451030,4510,45,511210,5112,51,7372,737,73
AVD,15101030,151010,1510,15,325320,3253,32,2870,287,28
AME,20104010,201040,2010,20,334513,3345,33,3823,382,38
AMGN,35201010,352010,3520,35,325414,3254,32,2836,283,28
ADI,45301020,453010,4530,45,334413,3344,33,3674,367,36
ANDE,30101020,301010,3010,30,424510,4245,42,5150,515,51
NBR,10101010,101010,1010,10,213111,2131,21,1381,138,13
APA,10102020,101020,1010,10,2111,2111,21,1311,131,13
APOG,20102010,201020,2010,20,332321,3323,33,3442,344,34
AAPL,45202030,452020,4520,45,334220,3342,33,3663,366,36
AMAT,45301010,453010,4530,45,333242,3332,33,3559,355,35
EPAC,20106020,201060,2010,20,333132,3331,33,3533,353,35
TREC,15101010,151010,1510,15,324110,3241,32,2911,291,29
ADM,30202010,302020,3020,30,31122,3112,31,2070,207,20
ARCB,20304020,203040,2030,20,484122,4841,48,4213,421,42
ARW,45203030,452030,4520,45,423690,4236,42,5065,506,50
ASH,15101050,151010,1510,15,3252,3252,32,2820,282,28
ATRO,20101010,201010,2010,20,336320,3363,33,3640,364,36
REX,10102030,101020,1010,10,325193,3251,32,2860,286,28
ADSK,45103010,451030,4510,45,519130,5191,51,7370,737,73
ADP,45102020,451020,4510,45,518210,5182,51,7374,737,73
AVY,15103020,151030,1510,15,322220,3222,32,2670,267,26
AVT,45203030,452030,4520,45,423690,4236,42,5065,506,50
AZZ,20104020,201040,2010,20,335122,3351,33,3640,364,36
BRT,60101060,601010,6010,60,531110,5311,53,6798,679,67
BMI,45203010,452030,4520,45,334514,3345,33,3824,382,38
BCPC,15101050,151010,1510,15,325412,3254,32,2834,283,28
PTVCB,40301040,403010,4030,40,524126,5241,52,6331,633,63
BLL,15103010,151030,1510,15,332431,3324,33,3411,341,34
BPOP,40101015,401010,4010,40,522110,5221,52,6020,602,60
BOH,40101015,401010,4010,40,522110,5221,52,6020,602,60
BK,40203010,402030,4020,40,522110,5221,52,6020,602,60
B,20106020,201060,2010,20,332613,3326,33,3490,349,34
BAX,35101010,351010,3510,35,325412,3254,32,2834,283,28
AIT,20107010,201070,2010,20,423830,4238,42,5080,508,50
BDX,35101010,351010,3510,35,339112,3391,33,3841,384,38
BELFB,45203015,452030,4520,45,334416,3344,33,3677,367,36
VZ,50101020,501010,5010,50,517312,5173,51,4812,481,48
BBY,25504020,255040,2550,25,443142,4431,44,5731,573,57
BIO,35203010,352030,3520,35,334516,3345,33,3826,382,38
BKH,55103010,551030,5510,55,2211,2211,22,4911,491,49
HRB,25302020,253020,2530,25,541213,5412,54,7200,720,72
BA,20101010,201010,2010,20,336411,3364,33,3721,372,37
RHI,20202010,202020,2020,20,561320,5613,56,7363,736,73
BRC,20201010,202010,2020,20,339950,3399,33,3990,399,39
BMY,35202010,352020,3520,35,325412,3254,32,2834,283,28
CAL,25504010,255040,2550,25,316210,3162,31,3140,314,31
BC,25202010,252020,2520,25,333618,3336,33,3510,351,35
MTRN,15104020,151040,1510,15,331410,3314,33,3330,333,33
MTZ,20103010,201030,2010,20,237130,2371,23,1623,162,16
UIS,45102010,451020,4510,45,541512,5415,54,7373,737,73
RAMP,45102010,451020,4510,45,519130,5191,51,7370,737,73
CI,35102015,351020,3510,35,524114,5241,52,6324,632,63
CNA,40301040,403010,4030,40,524126,5241,52,6331,633,63
CSX,20304010,203040,2030,20,482111,4821,48,4011,401,40
CTS,45203020,452030,4520,45,33441,3344,33,3670,367,36
TLS,45103020,451030,4510,45,541512,5415,54,7373,737,73
CBT,15101010,151010,1510,15,325180,3251,32,2890,289,28
CACI,20202020,202020,2020,20,541512,5415,54,7373,737,73
CAMP,45201020,452010,4520,45,334220,3342,33,3663,366,36
CWT,55104010,551040,5510,55,221310,2213,22,4941,494,49
CPB,30202030,302020,3020,30,311422,3114,31,2030,203,20
STZ,30201020,302010,3020,30,312120,3121,31,2082,208,20
CAH,35102010,351020,3510,35,424210,4242,42,5122,512,51
CSL,20105010,201050,2010,20,324122,3241,32,2950,295,29
CRS,15104050,151040,1510,15,331110,3311,33,3312,331,33
CASY,30101030,301010,3010,30,447110,4471,44,5412,541,54
CAT,20106010,201060,2010,20,333120,3331,33,3531,353,35
CATO,25504010,255040,2550,25,448120,4481,44,5621,562,56
CVCO,25201030,252010,2520,25,321992,3219,32,2452,245,24
LUMN,50101010,501010,5010,50,517311,5173,51,4813,481,48
MGLN,35102030,351020,3510,35,561110,5611,56,8741,874,87
CMD,35101010,351010,3510,35,334510,3345,33,3845,384,38
CHE,35102015,351020,3510,35,621610,6216,62,8082,808,80
JPM,40101010,401010,4010,40,522110,5221,52,6020,602,60
CPK,55102010,551020,5510,55,221210,2212,22,4923,492,49
CVX,10102010,101020,1010,10,324110,3241,32,2911,291,29
EAT,25301040,253010,2530,25,722511,7225,72,5812,581,58
CHD,30301010,303010,3030,30,325611,3256,32,2840,284,28
CHDN,25301010,253010,2530,25,713210,7132,71,7990,799,79
CBB,50101020,501010,5010,50,517311,5173,51,4813,481,48
CTAS,20201070,202010,2020,20,812331,8123,81,7200,720,72
IHRT,50201020,502010,5020,50,515112,5151,51,4832,483,48
CLF,15104050,151040,1510,15,331110,3311,33,3310,331,33
CLX,30301010,303010,3030,30,325612,3256,32,2842,284,28
COKE,30201030,302010,3020,30,312111,3121,31,2086,208,20
KO,30201030,302010,3020,30,312111,3121,31,2086,208,20
CDE,15104030,151040,1510,15,21222,2122,21,1040,104,10
COHR,45203010,452030,4520,45,334516,3345,33,3826,382,38
COHU,45301010,453010,4530,45,334515,3345,33,3825,382,38
CL,30301010,303010,3030,30,325611,3256,32,2844,284,28
CCF,15101050,151010,1510,15,325520,3255,32,2891,289,28
AON,40301010,403010,4030,40,524210,5242,52,6411,641,64
CMCSA,50201030,502010,5020,50,515210,5152,51,4841,484,48
CMA,40101015,401010,4010,40,522110,5221,52,6020,602,60
CBSH,40101015,401010,4010,40,522110,5221,52,6020,602,60
C,40101010,401010,4010,40,522110,5221,52,6199,619,61
CMC,15104050,151040,1510,15,331110,3311,33,3312,331,33
CAR,20304020,203040,2030,20,532111,5321,53,7510,751,75
DXC,45102010,451020,4510,45,541512,5415,54,7370,737,73
CMTL,45201020,452010,4520,45,334220,3342,33,3663,366,36
CAG,30202030,302020,3020,30,31142,3114,31,2000,200,20
SSTK,25502020,255020,2550,25,519130,5191,51,7370,737,73
ED,55103010,551030,5510,55,22111,2211,22,4931,493,49
BH,25301040,253010,2530,25,722511,7225,72,5812,581,58
CTO,60101010,601010,6010,60,5311,5311,53,6798,679,67
CMS,55103010,551030,5510,55,22111,2211,22,4931,493,49
CLR,10102020,101020,1010,10,211120,2111,21,1311,131,13
CTB,25101020,251010,2510,25,326211,3262,32,3011,301,30
COO,35101020,351010,3510,35,339115,3391,33,3851,385,38
TAP,30201010,302010,3020,30,312120,3121,31,2082,208,20
GLW,45203015,452030,4520,45,334419,3344,33,3679,367,36
