symbol,name,mc,gics_subind
AMGN,AMGEN INC,116274.357085632,35201010
EIX,EDISON INTERNATIONAL,25400.2252617111,55101010
SPA,SPARTON CORP,172.265366554584,20101010
CPF,CENTRAL PACIFIC FINANCIAL CP,930.547293603897,40101015
SPTN,SPARTANNASH CO,1341.64397536148,30101020
PFGC,PERFORMANCE FOOD GROUP CO,2769.18178876216,30101020
FTEK,FUEL TECH INC,19.4906566616294,20201050
RIGL,RIGEL PHARMACEUTICALS INC,310.983319456696,35201010
GDOT,GREEN DOT CORP,1771.23867555984,40202010
LMRK,LANDMARK INFRAST PRTNS LP,346.925502434162,60102020
RNWK,REALNETWORKS INC,156.928766576748,45101010
TMO,THERMO FISHER SCIENTIFIC INC,67188.1094354121,35203010
CVA,COVANTA HOLDING CORP,1860.19997501373,20201050
ALXN,ALEXION PHARMACEUTICALS INC,26134.0795898438,35201010
PBYI,PUMA BIOTECHNOLOGY INC,1423.08626937866,35201010
QUAD,QUAD/GRAPHICS INC,1198.59996032715,20201010
TMHC,TAYLOR MORRISON HOME CORP,2749.51297954378,25201030
PF,PINNACLE FOODS INC,7004.70598399773,30202030
PACB,PACIFIC BIOSCIENCES OF CALIF,371.353806310844,35203010
BRN,BARNWELL INDUSTRIES,15.0652579381193,10102020
AIT,APPLIED INDUSTRIAL TECH INC,2328.13948674011,20107010
IDXG,INTERPACE DIAGNOSTICS GP INC,16.204141821989,35102015
TRCB,TWO RIVER BANCORP,145.633045120239,40101015
TSLA,TESLA INC,51393.181897793,25102010
CRUS,CIRRUS LOGIC INC,4081.94030057377,45301020
NEOG,NEOGEN CORP,2336.69463911514,35101020
BCO,BRINKS CO,3024.00009155273,20201080
SGU,STAR GAS PARTNERS  -LP,565.512870649491,55102010
LHO,LASALLE HOTEL PROPERTIES,3214.30103685334,60101030
ADES,ADVANCED EMISSIONS SOLUTIONS,210.126017794217,15101050
ACOR,ACORDA THERAPEUTICS INC,710.725235222199,35201010
ATI,ALLEGHENY TECHNOLOGIES INC,1620.40412831974,15104050
ETSY,ETSY INC,1526.60503443929,25502020
APRI,APRICUS BIOSCIENCES INC,7.81919752844067,35202010
RAS,RAIT FINANCIAL TRUST,209.483335908015,60101010
AIZ,ASSURANT INC,5463.37833282471,40301030
ACRX,ACELRX PHARMACEUTICALS INC,106.622666609635,35202010
ASTE,ASTEC INDUSTRIES INC,1277.29335634384,20106010
PNRA,PANERA BREAD CO,7108.27364303637,25301040
HAIN,HAIN CELESTIAL GROUP INC,3787.22177502303,30202030
EBAY,EBAY INC,36360.9395065308,45101010
HBI,HANESBRANDS INC,7414.0176734291,25203010
CHE,CHEMED CORP,3156.40561365813,35102015
AEE,AMEREN CORP,13415.7798149109,55103010
UNT,UNIT CORP,996.145440476212,10101010
FIT,FITBIT INC,1236.2666896797,45203010
GPP,GREEN PLAINS PARTNERS LP,624.875894622688,10102040
CBAN,COLONY BANKCORP INC,114.348451609612,40101015
INFI,INFINITY PHARMACEUTICALS INC,85.7245568478684,35201010
PRIM,PRIMORIS SERVICES CORP,1173.799381733,20103010
EAT,BRINKER INTL INC,2031.90256110934,25301040
MCRN,MILACRON HOLDINGS CORP,1178.66970385531,20106020
AHPI,ALLIED HEALTHCARE PRODS INC,7.70599622668334,35101010
PLD,PROLOGIS INC,29039.7669480345,60101020
AEO,AMERN EAGLE OUTFITTERS INC,1978.91971808083,25504010
RUSHA,RUSH ENTERPRISES INC,1417.00847367096,20107010
MKTX,MARKETAXESS HOLDINGS INC,6834.73438218894,40203040
ABR,ARBOR REALTY TRUST INC,423.616548450489,40204010
OMF,ONEMAIN HOLDINGS INC,3028.0405911016,40202010
CRWS,CROWN CRAFTS INC,75.9996696170883,25203030
HVBC,HV BANCORP INC,31.0498590011597,40102010
EXR,EXTRA SPACE STORAGE INC,9556.73334718653,60101080
OREX,OREXIGEN THERAPEUTICS INC,46.9016239755401,35202010
DTE,DTE ENERGY CO,18896.6259230652,55103010
DUK,DUKE ENERGY CORP,58275,55101010
FLS,FLOWSERVE CORP,6323.38637145417,20106020
CARO,CAROLINA FINANCIAL CORP,491.700286417007,40101015
WFM,WHOLE FOODS MARKET INC,11513.7754859924,30101030
SACH,SACHEM CAPITAL CORP,54.9610359471817,40102010
SCSS,SELECT COMFORT CORP,1209.02073147034,25504060
NCMI,NATIONAL CINEMEDIA INC,449.617885711319,25401010
FITB,FIFTH THIRD BANCORP,17868.4536710739,40101015
FSTR,FOSTER (LB) CO,182.873399320091,20106020
RNG,RINGCENTRAL INC,2446.65846964557,45103010
BTU,PEABODY ENERGY CORP,434.009983062744,10102050
WHR,WHIRLPOOL CORP,13112.7997741699,25201040
SRG,SERITAGE GROWTH PROPERTIES,1373.54189385919,60101070
VRTX,VERTEX PHARMACEUTICALS INC,29351.7164689304,35201010
MDLZ,MONDELEZ INTERNATIONAL INC,68441.1602783203,30202030
CG,CARLYLE GROUP LP,1480.36669921875,40203010
XYL,XYLEM INC,9250.95576063538,20106020
LMOS,LUMOS NETWORKS CORP,425.750287794799,50101010
GNCMA,GENERAL COMMUNICATION  -CL A,1270.26897525787,50101020
SFNC,SIMMONS FIRST NATL CP  -CL A,1632.176,40101015
CYRN,CYREN LTD,82.2659645868043,45101010
RARE,ULTRAGENYX PHARMACEUTICAL,2494.55502570988,35201010
ATRS,ANTARES PHARMA INC,399.5010308825,35101020
HAS,HASBRO INC,12442.1456174011,25202010
DJCO,DAILY JOURNAL CORP,292.705187550182,25401040
DRE,DUKE REALTY CORP,10063.1119876198,60101020
UBFO,UNITED SECURITY BANCSHARS CA,155.070558500519,40101015
LZB,LA-Z-BOY INC,1321.66297923279,25201020
LNCE,SNYDERS-LANCE INC,3529.46741280385,30202030
VRTV,VERITIV CORP,706.499991416931,20107010
ENLC,ENLINK MIDSTREAM LLC,3204.7855758667,10102040
PTHN,PATHEON NV,5033.06151706807,35203010
PEIX,PACIFIC ETHANOL INC,284.875497817993,10102030
CSII,CARDIOVASCULAR SYSTEMS INC,1029.19397206606,35101010
LLY,LILLY (ELI) & CO,86254.1918261293,35202010
MDC,MDC HOLDINGS INC,1765.90317770427,25201030
CVBF,CVB FINANCIAL CORP,2260.53784560585,40101015
PAYC,PAYCOM SOFTWARE INC,3682.97214070044,45103010
GIFI,GULF ISLAND FABRICATION INC,135.136371650753,10101020
XCO,EXCO RESOURCES INC,104.86252698618,10102020
ARE,ALEXANDRIA R E EQUITIES INC,10524.5461317105,60101040
MLP,MAUI LAND & PINEAPPLE CO,319.603743636162,60102030
KEYS,KEYSIGHT TECHNOLOGIES INC,6430.16501670837,45203010
PE,PARSLEY ENERGY INC,8558.76735305646,10102020
FRP,FAIRPOINT COMMUNICATIONS INC,384.461754900662,50101020
OXY,OCCIDENTAL PETROLEUM CORP,46096.6329650101,10102010
IMDZ,IMMUNE DESIGN CORP,171.148479739275,35201010
TTOO,T2 BIOSYSTEMS INC,98.8197167509907,35201010
MNGA,MAGNEGAS CORP,12.2000314505209,20201050
MNTA,MOMENTA PHARMACEUTICALS INC,1161.68633902874,35201010
CNS,COHEN & STEERS INC,1814.63775504439,40203010
VEC,VECTRUS INC,316.261069796261,20101010
PPBI,PACIFIC PREMIER BANCORP INC,961.465071292877,40101015
OI,OWENS-ILLINOIS INC,3498.007,15103010
WDAY,WORKDAY INC,19374.3204956055,45103010
TKAI,TOKAI PHARMACEUTICALS INC,NULL,35201010
BANC,BANC OF CALIFORNIA INC,1007.55583805466,40101015
TZOO,TRAVELZOO INC,129.148502826691,45101010
BPTH,BIO-PATH HOLDINGS INC,45.9000341261644,35202010
ANDE,ANDERSONS INC,972.6108092453,30101020
AWR,AMERICAN STATES WATER CO,1620.62409854126,55104010
RSYS,RADISYS CORP,153.340857176914,45203020
RARX,RA PHARMACEUTICALS INC,562.646398728943,35201010
SWKS,SKYWORKS SOLUTIONS INC,19040.3994369507,45301020
SJT,SAN JUAN BASIN ROYALTY TR,352.828616284927,10102020
UTEK,ULTRATECH INC,813.544415233449,45301010
QEP,QEP RESOURCES INC,2667.189396698,10102020
CAL,CALERES INC,1106.73252326123,25504010
ACXM,ACXIOM CORP,2000.69603706362,45102010
