gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,revt,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
001004,20210531,2020,INDL,C,D,STD,AIR,AAR CORP,USD,1651.4000,0000001750,A,2010,201010,20,20101010,423860,5080
001045,20211231,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,29882.0000,0000006201,A,2030,203020,20,20302010,481111,4512
001075,20211231,2021,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,3803.8350,0000764622,A,5510,551010,55,55101010,2211,4911
001076,20211231,2021,INDL,C,D,STD,PRG,PROG HOLDINGS INC,USD,2677.9200,0001808834,A,4020,402020,40,40202010,522220,6141
001078,20211231,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,43075.0000,0000001800,A,3510,351010,35,35101010,334510,3845
001104,20211231,2021,INDL,C,D,STD,ACU,ACME UNITED CORP,USD,182.0880,0000002098,A,2020,202010,20,20201060,332215,3420
001161,20211231,2021,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,16434.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001209,20210930,2021,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,10323.0000,0000002969,A,1510,151010,15,15101040,325120,2810
001210,20210331,2020,INDL,C,D,STD,AIRT,AIR T INC,USD,175.1210,0000353184,A,2030,203010,20,20301010,492110,4513
001230,20211231,2021,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,6176.0000,0000766421,A,2030,203020,20,20302010,481111,4512
001234,20211231,2021,INDL,C,D,STD,ATRI,ATRION CORP,USD,165.0090,0000701288,A,3510,351010,35,35101020,339112,3841
001254,20211231,2021,INDL,C,D,STD,MATX,MATSON INC,USD,3925.3000,0000003453,A,2030,203030,20,20303010,483113,4400
001257,20211231,2021,FS,C,D,STD,ALX,ALEXANDER'S INC,USD,280.2190,0000003499,A,6010,601010,60,60101070,531120,6798
001257,20211231,2021,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,206.1480,0000003499,A,6010,601010,60,60101070,531120,6798
001266,20210930,2021,INDL,C,D,STD,ALCO,ALICO INC,USD,108.5640,0000003545,A,3020,302020,30,30202010,111310,0100
001274,20211231,2021,INDL,C,D,STD,Y,ALLEGHANY CORP,USD,12004.1050,0000775368,A,4030,403010,40,40301050,524126,6331
001393,20210331,2020,INDL,C,D,STD,UHAL,AMERCO,USD,4541.9850,0000004457,A,2030,203040,20,20304020,532120,7510
001410,20211031,2021,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,6228.6000,0000771497,A,2020,202010,20,20201050,561720,7340
001439,20211231,2021,INDL,C,D,STD,ECOL,US ECOLOGY INC,USD,988.0010,0001783400,A,2020,202010,20,20201050,562211,4955
001447,20211231,2021,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,44430.0000,0000004962,A,4020,402020,40,40202010,522210,6141
001447,20211231,2021,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,43663.0000,0000004962,A,4020,402020,40,40202010,522210,6141
001449,20211231,2021,FS,C,D,STD,AFL,AFLAC INC,USD,22324.0000,0000004977,A,4030,403010,40,40301020,524114,6321
001449,20211231,2021,INDL,C,D,STD,AFL,AFLAC INC,USD,21037.0000,0000004977,A,4030,403010,40,40301020,524114,6321
001487,20211231,2021,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,52521.0000,0000005272,A,4030,403010,40,40301030,524126,6331
001487,20211231,2021,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,52046.0000,0000005272,A,4030,403010,40,40301030,524126,6331
001598,20211231,2021,INDL,C,D,STD,AME,AMETEK INC,USD,5546.5140,0001037868,A,2010,201040,20,20104010,334513,3823
001602,20211231,2021,INDL,C,D,STD,AMGN,AMGEN INC,USD,25979.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001659,20211231,2021,INDL,C,D,STD,ANDE,ANDERSONS INC,USD,12612.0500,0000821026,A,3010,301010,30,30101020,424510,5150
001661,20211231,2021,INDL,C,D,STD,NBR,NABORS INDUSTRIES LTD,USD,2017.5480,0001163739,A,1010,101010,10,10101010,213111,1381
001686,20210228,2020,INDL,C,D,STD,APOG,APOGEE ENTERPRISES INC,USD,1230.7740,0000006845,A,2010,201020,20,20102010,332321,3442
001690,20210930,2021,INDL,C,D,STD,AAPL,APPLE INC,USD,365817.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001722,20211231,2021,INDL,C,D,STD,ADM,ARCHER-DANIELS-MIDLAND CO,USD,85249.0000,0000007084,A,3020,302020,30,30202010,31122,2070
001743,20211231,2021,INDL,C,D,STD,ARCB,ARCBEST CORP,USD,3980.0670,0000894405,A,2030,203040,20,20304020,484122,4213
001773,20211231,2021,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,34477.0180,0000007536,A,4520,452030,45,45203030,423690,5065
001878,20220131,2021,INDL,C,D,STD,ADSK,AUTODESK INC,USD,4386.4000,0000769397,A,4510,451030,45,45103010,519130,7370
001919,20210630,2021,INDL,C,D,STD,AVT,AVNET INC,USD,19534.6790,0000008858,A,4520,452030,45,45203030,423690,5065
001926,20210228,2020,INDL,C,D,STD,AZZ,AZZ INC,USD,838.9170,0000008947,A,2010,201040,20,20104020,335122,3640
001968,20211231,2021,INDL,C,D,STD,BMI,BADGER METER INC,USD,505.1980,0000009092,A,4520,452030,45,45203010,334514,3824
