ticker,code,Industry_group_code,Industry_group_name
A,35203010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AA,15104010,1510,Materials
AAL,20302010,2030,Transportation
AAN,25504060,2550,Retailing
AAOI,45201020,4520,Technology Hardware & Equipment
AAON,20102010,2010,Capital Goods
AAP,25504050,2550,Retailing
AAPL,45202030,4520,Technology Hardware & Equipment
AAT,60101010,6010,Real Estate
AAWW,20301010,2030,Transportation
AAXN,20101010,2010,Capital Goods
ABBV,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ABC,35102010,3510,Health Care Equipment & Services
ABCB,40101015,4010,Banks
ABEO,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ABG,25504050,2550,Retailing
ABM,20201050,2020,Commercial & Professional Services
ABMD,35101010,3510,Health Care Equipment & Services
ABT,35101010,3510,Health Care Equipment & Services
ABTX,40101015,4010,Banks
AC,40203010,4020,Diversified Financials
ACA,20103010,2010,Capital Goods
ACAD,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACBI,40101015,4010,Banks
ACC,60101060,6010,Real Estate
ACCO,20201060,2020,Commercial & Professional Services
ACER,35202010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACGL,40301040,4030,Insurance
ACHC,35102020,3510,Health Care Equipment & Services
ACIA,45201020,4520,Technology Hardware & Equipment
ACIW,45103010,4510,Software & Services
ACLS,45301010,4530,Semiconductors & Semiconductor Equipment
ACM,20103010,2010,Capital Goods
ACN,45102010,4510,Software & Services
ACNB,40101015,4010,Banks
ACOR,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRE,40204010,4020,Diversified Financials
ACRS,35202010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRX,35202010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTG,20202020,2020,Commercial & Professional Services
ADBE,45103010,4510,Software & Services
ADC,60101070,6010,Real Estate
ADES,15101050,1510,Materials
ADI,45301020,4530,Semiconductors & Semiconductor Equipment
ADM,30202010,3020,"Food, Beverage & Tobacco"
ADMA,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADMS,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADNT,25101010,2510,Automobiles & Components
ADP,45102020,4510,Software & Services
ADPT,35203010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADRO,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ADS,45102020,4510,Software & Services
ADSK,45103010,4510,Software & Services
ADSW,20201050,2020,Commercial & Professional Services
ADT,20201080,2020,Commercial & Professional Services
ADTN,45201020,4520,Technology Hardware & Equipment
ADUS,35102015,3510,Health Care Equipment & Services
ADVM,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AEE,55103010,5510,Utilities
AEGN,20103010,2010,Capital Goods
AEIS,45301010,4530,Semiconductors & Semiconductor Equipment
AEL,40301020,4030,Insurance
AEO,25504010,2550,Retailing
AEP,55101010,5510,Utilities
AERI,35202010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AES,55105010,5510,Utilities
AFG,40301030,4030,Insurance
AFI,20102010,2010,Capital Goods
AFIN,60101070,6010,Real Estate
AFL,40301020,4030,Insurance
AFMD,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGCO,20106015,2010,Capital Goods
AGE,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGEN,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGIO,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGLE,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AGM,40102010,4010,Banks
AGNC,40204010,4020,Diversified Financials
AGO,40301040,4030,Insurance
AGR,55101010,5510,Utilities
AGS,25301010,2530,Consumer Services
AGX,20103010,2010,Capital Goods
AGYS,45103010,4510,Software & Services
AHH,60101010,6010,Real Estate
AHT,60101030,6010,Real Estate
AI,40204010,4020,Diversified Financials
AIG,40301030,4030,Insurance
AIMC,20106020,2010,Capital Goods
AIMT,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AIN,20106020,2010,Capital Goods
AIR,20101010,2010,Capital Goods
AIRG,45203015,4520,Technology Hardware & Equipment
AIT,20107010,2010,Capital Goods
AIV,60101060,6010,Real Estate
AIZ,40301030,4030,Insurance
AJG,40301010,4030,Insurance
AJRD,20101010,2010,Capital Goods
AJX,40204010,4020,Diversified Financials
AKAM,45102030,4510,Software & Services
AKBA,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AKCA,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AKR,60101070,6010,Real Estate
AKRO,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AKRX,35202010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
AKTS,45203015,4520,Technology Hardware & Equipment
AL,20107010,2010,Capital Goods
ALB,15101050,1510,Materials
ALBO,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALCO,30202010,3020,"Food, Beverage & Tobacco"
ALDX,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALE,55101010,5510,Utilities
ALEC,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALEX,60101010,6010,Real Estate
ALG,20106010,2010,Capital Goods
ALGN,35101020,3510,Health Care Equipment & Services
ALGT,20302010,2030,Transportation
ALK,20302010,2030,Transportation
ALKS,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALL,40301040,4030,Insurance
ALLE,20102010,2010,Capital Goods
ALLK,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALLO,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALLY,40202010,4020,Diversified Financials
ALNY,35201010,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
ALOT,45202030,4520,Technology Hardware & Equipment
ALRM,45103010,4510,Software & Services
ALRS,40201020,4020,Diversified Financials
ALSN,20106010,2010,Capital Goods
ALTM,10102040,1010,Energy
ALTR,45103010,4510,Software & Services
ALX,60101070,6010,Real Estate
