ticker,industry_group
A,"Pharmaceuticals, Biotechnology & Life Sciences"
AA,Materials
AAL,Transportation
AAN,Retailing
AAOI,Technology Hardware & Equipment
AAON,Capital Goods
AAP,Retailing
AAPL,Technology Hardware & Equipment
AAT,Real Estate
AAWW,Transportation
AAXN,Capital Goods
ABBV,"Pharmaceuticals, Biotechnology & Life Sciences"
ABC,Health Care Equipment & Services
ABCB,Banks
ABEO,"Pharmaceuticals, Biotechnology & Life Sciences"
ABG,Retailing
ABM,Commercial & Professional Services
ABMD,Health Care Equipment & Services
ABT,Health Care Equipment & Services
ABTX,Banks
AC,Diversified Financials
ACA,Capital Goods
ACAD,"Pharmaceuticals, Biotechnology & Life Sciences"
ACBI,Banks
ACC,Real Estate
ACCO,Commercial & Professional Services
ACER,"Pharmaceuticals, Biotechnology & Life Sciences"
ACGL,Insurance
ACHC,Health Care Equipment & Services
ACIA,Technology Hardware & Equipment
ACIW,Software & Services
ACLS,Semiconductors & Semiconductor Equipment
ACM,Capital Goods
ACN,Software & Services
ACNB,Banks
ACOR,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRE,Diversified Financials
ACRS,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRX,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTG,Commercial & Professional Services
ADBE,Software & Services
ADC,Real Estate
ADES,Materials
ADI,Semiconductors & Semiconductor Equipment
ADM,"Food, Beverage & Tobacco"
ADMA,"Pharmaceuticals, Biotechnology & Life Sciences"
ADMS,"Pharmaceuticals, Biotechnology & Life Sciences"
ADNT,Automobiles & Components
ADP,Software & Services
ADPT,"Pharmaceuticals, Biotechnology & Life Sciences"
ADRO,"Pharmaceuticals, Biotechnology & Life Sciences"
ADS,Software & Services
ADSK,Software & Services
ADSW,Commercial & Professional Services
ADT,Commercial & Professional Services
ADTN,Technology Hardware & Equipment
ADUS,Health Care Equipment & Services
ADVM,"Pharmaceuticals, Biotechnology & Life Sciences"
AEE,Utilities
