ticker,text,length,industry_group,labels
A,"agilent technologies, inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. the life sciences and applied markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. the diagnostics and genomics segment provides arrays for dna mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, dna methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. it also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. the agilent crosslab segment provides gc and lc columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. the company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. agilent technologies, inc. was incorporated in 1999 and is headquartered in santa clara, california.",247,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
AA,"alcoa corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the united states, spain, australia, iceland, norway, brazil, canada, and internationally. the company operates through three segments: bauxite, alumina, and aluminum. it engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting and casting businesses. the company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets. in addition, it owns hydro power plants that generates and sells electricity in the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. the company was formerly known as alcoa upstream corporation and changed its name to alcoa corporation in october 2016. the company was founded in 1888 and is headquartered in pittsburgh, pennsylvania.",156,Materials,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
AAL,"american airlines group inc., through its subsidiaries, operates as a network air carrier. the company provides scheduled air transportation services for passengers and cargo through its hubs in charlotte, chicago, dallas/fort worth, los angeles, miami, new york, philadelphia, phoenix, and washington, d.c., as well as through partner gateways in london, madrid, seattle/tacoma, sydney, and tokyo. as of december 31, 2021, it operated a mainline fleet of 865 aircraft. the company was formerly known as amr corporation and changed its name to american airlines group inc. in december 2013. american airlines group inc. was founded in 1930 and is headquartered in fort worth, texas.",103,Transportation,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
AAN,"the aaron's company, inc. provides lease-to-own and purchase solutions. the company engages in direct-to-consumer sales and lease ownership of furniture, appliances, electronics, computers, and accessories through company-operated and franchised stores in the united states and canada, as well as its e-commerce platform. it also manufactures and supplies bedding and upholstered furniture. as of october 19, 2022, the company operated approximately 1,300 company-operated and franchised stores. the company was formerly known as aaron's spinco, inc. the aaron's company, inc. was founded in 1955 and is headquartered in atlanta, georgia.",88,Retailing,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
AAOI,"applied optoelectronics, inc. designs, manufactures, and sells various fiber-optic networking products worldwide. it offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. the company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. applied optoelectronics, inc. was incorporated in 1997 and is headquartered in sugar land, texas.",73,Technology Hardware & Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
AAON,"aaon, inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the united states and canada. the company operates through three segments: aaon oklahoma, aaon coil products, and basx. it offers rooftop units, data center cooling solutions, cleanroom systems, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, coils, and controls. the company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, data centers, medical and pharmaceutical, and other commercial industries. it sells its products through a network of independent manufacturer representative organizations and internal sales force. the company was incorporated in 1987 and is based in tulsa, oklahoma.",119,Capital Goods,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
AAP,"advance auto parts, inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. the company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. it also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. in addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. additionally, the company sells its products through its website. it serves professional installers and do-it-yourself customers. the company operates stores under the advance auto parts, autopart international, and carquest brands, as well as branches under the worldpac name. as of april 23, 2022, it operated 4,687 stores and 311 branches in the united states, puerto rico, the u.s. virgin islands, and canada; and served 1,318 independently owned carquest branded stores in mexico, grand cayman, the bahamas, turks and caicos, and the british virgin islands. the company was founded in 1929 and is based in raleigh, north carolina.",283,Retailing,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
AAPL,"apple inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. it also sells various related services. in addition, the company offers iphone, a line of smartphones; mac, a line of personal computers; ipad, a line of multi-purpose tablets; and wearables, home, and accessories comprising airpods, apple tv, apple watch, beats products, and homepod. further, it provides applecare support and cloud services store services; and operates various platforms, including the app store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. additionally, the company offers various services, such as apple arcade, a game subscription service; apple fitness+, a personalized fitness service; apple music, which offers users a curated listening experience with on-demand radio stations; apple news+, a subscription news and magazine service; apple tv+, which offers exclusive original content; apple card, a co-branded credit card; and apple pay, a cashless payment service, as well as licenses its intellectual property. the company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. it distributes third-party applications for its products through the app store. the company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. apple inc. was incorporated in 1977 and is headquartered in cupertino, california.",226,Technology Hardware & Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
AAT,"american assets trust, inc. is a full service, vertically integrated and self-administered real estate investment trust, or reit, headquartered in san diego, california. the company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the united states in some of the nation's most dynamic, high-barrier-to-entry markets primarily in southern california, northern california, oregon, washington, texas and hawaii. the company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. in addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. in 2011, the company was formed to succeed to the real estate business of american assets, inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes.",157,Real Estate,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
AAWW,"atlas air worldwide holdings, inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. it operates through two segments, airline operations and dry leasing. the company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. it also provides cargo and passenger aircraft charter services to the u.s. military air mobility command, charter brokers, freight forwarders, direct shippers, airlines, manufacturers, sports teams and fans, and private charter customers; and cargo and passenger aircraft and engines dry leasing services. in addition, the company offers administrative and management support services, and flight simulator training services. it also serves express delivery providers, e-commerce retailers, and airlines. the company has operations in africa, asia, australia, europe, the middle east, north america, and south america. atlas air worldwide holdings, inc. was founded in 1992 and is headquartered in purchase, new york.",158,Transportation,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
