ticker,text,original,preditions,predictions_score,hand_labeled
AFL,"aflac incorporated, through its subsidiaries, provides supplemental health and life insurance products. it operates through two segments, aflac japan and aflac u.s. the aflac japan segment offers cancer, medical, nursing care income support, gift, and whole and term life insurance products, as well as ways and child endowment plans under saving type insurance products in japan. the aflac u.s. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, long-term care and disability, and term and whole life insurance products in the united states. it sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. the company was founded in 1955 and is based in columbus, georgia.",['Insurance'],"['Insurance', 'Health Care Equipment & Services', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Food, Beverage & Tobacco', 'Commercial & Professional Services']","[9.76704001e-01 9.76497769e-01 7.74967950e-03 1.59566151e-03
 1.45840313e-04]",['Insurance']
AIG,"american international group, inc. offers insurance products for commercial, institutional, and individual customers in north america and internationally. the company's general insurance segment provides general liability, environmental, commercial automobile liability, workers' compensation, casualty, and crisis management insurance products; commercial, industrial, and energy-related property insurance; and aerospace, political risk, trade credit, portfolio solutions, crop, and marine insurance. it also provides professional liability insurance products for a range of businesses and risks, including directors and officers, mergers and acquisitions, fidelity, employment practices, fiduciary liability, cyber risk, kidnap and ransom, and errors and omissions insurance. in addition, this segment offers personal auto and property insurance, such as auto, homeowners, umbrella, yacht, fine art, and collections; voluntary and sponsor-paid personal accident; supplemental health products; extended warranty insurance products; and travel insurance products. its life and retirement segment offers variable annuities, index and fixed annuities, and retail mutual funds; and financial planning and advisory services; record-keeping, plan administrative, and compliance services; and term life and universal life insurance. it also provides stable value wrap products, and structured settlement and pension risk transfer annuities; and corporate- and bank-owned life insurance and guaranteed investment contracts. this segment sells its products through independent marketing organizations, independent insurance agents, financial advisors, direct marketing, banks, and broker-dealers. the company was founded in 1919 and is headquartered in new york, new york.",['Insurance'],"['Insurance', 'Diversified Financials', 'Telecommunication Services', 'Capital Goods', 'Commercial & Professional Services']","[9.99626517e-01 2.84488802e-03 2.13534618e-03 1.92696857e-03
 8.98867875e-05]",['Insurance']
AIZ,"assurant, inc., together with its subsidiaries, provides lifestyle and housing solutions that support, protect, and connect consumer purchases in north america, latin america, europe, and the asia pacific. the company operates through two segments: global lifestyle and global housing. the global lifestyle segment offers mobile device solutions, and extended service products and related services for mobile devices, consumer electronics, and appliances; vehicle protection and related services; and credit protection and other insurance products. the global housing segment provides lender-placed homeowners insurance, manufactured housing, and flood insurance; and renters insurance and related products, as well as voluntary manufactured housing insurance, voluntary homeowners insurance, and other specialty products. the company was formerly known as fortis, inc. and changed its name to assurant, inc. in february 2004. assurant, inc. was founded in 1892 and is headquartered in new york, new york.",['Insurance'],"['Consumer Durables & Apparel', 'Media & Entertainment', 'Capital Goods', 'Diversified Financials', 'Real Estate']",[0.97608942 0.01111477 0.00563979 0.00475785 0.0011575 ],['Insurance']
AJG,"arthur j. gallagher & co., together with its subsidiaries, provides insurance brokerage, consulting, third-party claims settlement, and administration services in the united states, australia, bermuda, canada, the caribbean, new zealand, india, and the united kingdom. it operates through brokerage and risk management segments. the brokerage segment consists of retail and wholesale insurance brokerage operations; assists retail brokers and other non-affiliated brokers in the placement of specialized and hard-to-place insurance; acts as a brokerage wholesaler, managing general agent, and managing general underwriter for distributing specialized insurance coverage's to underwriting enterprises. this segment also performs activities, including marketing, underwriting, issuing policies, collecting premiums, appointing and supervising other agents, paying claims, and negotiating reinsurance; and offers brokerage and consulting services to businesses and organizations, including commercial, not-for-profit, and public entities, as well as individuals in the areas of insurance placement, risk of loss management, and management of employer sponsored benefit programs. the risk management segment provides contract claim settlement and administration services to enterprises and public entities; and claims management, loss control consulting, and insurance property appraisal services. the company offers its services through a network of correspondent insurance brokers and consultants. it serves commercial, industrial, public, religious, and not-for-profit entities. the company was incorporated in 1927 and is headquartered in rolling meadows, illinois.",['Insurance'],"['Insurance', 'Commercial & Professional Services', 'Capital Goods', 'Telecommunication Services', 'Diversified Financials']","[9.88340735e-01 8.30454286e-03 1.91494462e-03 1.17200972e-04
 6.82973769e-05]",['Insurance']
ALL,"the allstate corporation, together with its subsidiaries, provides property and casualty, and other insurance products in the united states and canada. the company operates through allstate protection; protection services; allstate health and benefits; and run-off property-liability segments. the allstate protection segment offers private passenger auto and homeowners insurance; specialty auto products, including motorcycle, trailer, motor home, and off-road vehicle insurance; other personal lines products, such as renter, condominium, landlord, boat, umbrella, and manufactured home and stand-alone scheduled personal property; and commercial lines products under the allstate and encompass brand names. the protection services segment provides consumer product protection plans and related technical support for mobile phones, consumer electronics, furniture, and appliances; finance and insurance products, including vehicle service contracts, guaranteed asset protection waivers, road hazard tire and wheel, and paint and fabric protection; roadside assistance; device and mobile data collection services; data and analytic solutions using automotive telematics information; and identity protection services. this segment offers its products under various brands including allstate protection plans, allstate dealer services, allstate roadside services, arity, and allstate identity protection. the allstate health and benefits provides life, accident, critical illness, short-term disability, and other health insurance products. the run-off property-liability offers property and casualty insurance. it sells its products through call centers, agencies, financial specialists, independent agents, brokers, wholesale partners, and affinity groups, as well as through online and mobile applications. the allstate corporation was founded in 1931 and is based in northbrook, illinois.",['Insurance'],"['Insurance', 'Media & Entertainment', 'Technology Hardware & Equipment', 'Commercial & Professional Services', 'Consumer Durables & Apparel']",[0.98694825 0.02511388 0.01399868 0.00778823 0.0077696 ],['Insurance']
AON,"aon plc, a professional services firm, provides advice and solutions to clients focused on risk, retirement, and health worldwide. it offers commercial risk solutions, including retail brokerage, cyber, and global risk consulting solutions, as well as acts as a captives management; and health solutions, such as health and benefits brokerages, and health care exchanges. the company also provides treaty and facultative reinsurance, as well as insurance-linked securities, capital raising, strategic advice, restructuring, and mergers and acquisitions services; and corporate finance advisory services and capital markets solutions products. in addition, it offers strategic design consulting services on their retirement programs, actuarial services, and risk management services; advice services on developing and maintaining investment programs across a range of plan types, including defined benefit plans, defined contribution plans, endowments, and foundations for public and private companies, and other institutions; and advice and solutions that help clients in risk, health, and wealth through commercial risk, reinsurance, health, and wealth solutions. further, the company offers coverwallet; affinity; aon inpoint; coverwallet; and review services. aon plc was founded in 1919 and is headquartered in dublin, ireland.",['Insurance'],"['Commercial & Professional Services', 'Diversified Financials', 'Insurance', 'Health Care Equipment & Services', 'Materials']",[0.54034966 0.0218925  0.01292912 0.00241521 0.00070076],"['Insurance', 'Commercial & Professional Services']"
CB,"chubb limited provides insurance and reinsurance products worldwide. the company's north america commercial p&c insurance segment offers commercial property, casualty, workers' compensation, package policies, risk management, financial lines, marine, construction, environmental, medical, cyber risk, surety, and excess casualty; and group accident and health insurance to large, middle market, and small commercial businesses. its north america personal p&c insurance segment provides affluent and high net worth individuals and families with homeowners, automobile and collector cars, valuable articles, personal and excess liability, travel insurance, and recreational marine insurance and services. the company's north america agricultural insurance segment offers multiple peril crop and crop-hail insurance; and coverage for farm and ranch property, and commercial agriculture products. its overseas general insurance segment provides coverage for traditional commercial property and casualty; specialty categories, such as financial lines, marine, energy, aviation, political risk, and construction risk; and group accident and health, and traditional and specialty personal lines for corporations, middle markets, and small customers through retail brokers, agents, and other channels. the company's global reinsurance segment offers traditional and specialty reinsurance under the chubb tempest re brand to property and casualty companies. its life insurance segment provides protection and savings products comprising whole life, endowment plans, individual term life, group term life, medical and health, personal accident, credit life, universal life, and unit linked contracts. the company markets its products primarily through insurance and reinsurance brokers. the company was formerly known as ace limited and changed its name to chubb limited in january 2016. chubb limited was incorporated in 1985 and is headquartered in zurich, switzerland.",['Insurance'],"['Insurance', 'Capital Goods', 'Diversified Financials', 'Commercial & Professional Services', 'Consumer Durables & Apparel']","[9.77889955e-01 1.85440909e-02 6.32541440e-03 1.98868546e-03
 5.11126593e-04]",['Insurance']
CINF,"cincinnati financial corporation, together with its subsidiaries, provides property casualty insurance products in the united states. the company operates through five segments: commercial lines insurance, personal lines insurance, excess and surplus lines insurance, life insurance, and investments. the commercial lines insurance segment offers coverage for commercial casualty, commercial property, commercial auto, and workers' compensation. it also provides director and officer liability insurance, contract and commercial surety bonds, and fidelity bonds; and machinery and equipment coverage. the personal lines insurance segment offers personal auto insurance; homeowner insurance; and dwelling fire, inland marine, personal umbrella liability, and watercraft coverages to individuals. the excess and surplus lines insurance segment offers commercial casualty insurance that covers businesses for third-party liability from accidents occurring on their premises or arising out of their operations, such as injuries sustained from products; and commercial property insurance, which insures buildings, inventory, equipment, and business income from loss or damage due to various causes, such as fire, wind, hail, water, theft, and vandalism. the life insurance segment provides term life insurance products; universal life insurance products; worksite products, such as term life; and whole life insurance products. the investments segment invests in fixed-maturity investments, including taxable and tax-exempt bonds, and redeemable preferred stocks; and equity investments comprising common and nonredeemable preferred stocks. the company also offers commercial leasing and financing services; and insurance brokerage services. cincinnati financial corporation was founded in 1950 and is headquartered in fairfield, ohio.",['Insurance'],"['Insurance', 'Capital Goods', 'Telecommunication Services', 'Diversified Financials', 'Health Care Equipment & Services']","[9.84844267e-01 1.05138998e-02 5.53142838e-03 4.48991451e-03
 5.49843062e-05]","['Insurance', 'Diversified Financials']"
GL,"globe life inc., through its subsidiaries, provides various life and supplemental health insurance products, and annuities to lower middle to middle income households in the united states. the company operates through four segments: life insurance, supplemental health insurance, annuities, and investments. it offers whole life, term life, and other life insurance products; medicare supplement and supplemental health insurance, such as critical illness and accident plans; and single-premium and flexible-premium deferred annuities. the company was formerly known as torchmark corporation and changed its name to globe life inc. in august 2019. globe life inc. was incorporated in 1979 and is headquartered in mckinney, texas.",['Insurance'],"['Health Care Equipment & Services', 'Insurance', 'Food, Beverage & Tobacco', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Capital Goods']","[9.98757958e-01 4.87904936e-01 2.64574285e-03 4.78166883e-04
 1.71349515e-04]",['Insurance']
HIG,"the hartford financial services group, inc. provides insurance and financial services to individual and business customers in the united states, the united kingdom, and internationally. its commercial lines segment offers workers' compensation, property, automobile, liability, umbrella, bond, marine, livestock, and reinsurance; and customized insurance products and risk management services, including professional liability, bond, surety, and specialty casualty coverages through regional offices, branches, sales and policyholder service centers, independent retail agents and brokers, wholesale agents, and reinsurance brokers. the company's personal lines segment provides automobile, homeowners, and personal umbrella coverages through direct-to-consumer channel and independent agents. its property & casualty other operations segment offers coverage for asbestos and environmental exposures. the company's group benefits segment provides group life, disability, and other group coverages to members of employer groups, associations, and affinity groups through direct insurance policies; reinsurance to other insurance companies; employer paid and voluntary product coverages; disability underwriting, administration, and claims processing to self-funded employer plans; and a single-company leave management solution. this segment distributes its group insurance products and services through brokers, consultants, third-party administrators, trade associations, and private exchanges. its hartford funds segment offers investment products for retail and retirement accounts; exchange-traded products through broker-dealer organizations, independent financial advisers, defined contribution plans, financial consultants, bank trust groups, and registered investment advisers; and investment management and administrative services, such as product design, implementation, and oversight. the company was founded in 1810 and is headquartered in hartford, connecticut.",['Insurance'],"['Insurance', 'Diversified Financials', 'Telecommunication Services', 'Banks', 'Consumer Durables & Apparel']","[9.98993218e-01 1.41053554e-02 2.91602290e-03 1.57581735e-03
 5.37137908e-04]","['Insurance', 'Diversified Financials']"
